"Variable","Coeficiente","Error_Std","t","p_valor","Significancia"
"(Intercept)",10.7997,0.0775,139.2796,0,"***"
"ln_precio",-3.303,0.0275,-120.0773,0,"***"
"ln_costo",-0.0345,0.0202,-1.7097,0.0873,"."
"categoryjacket",0.0704,0.0236,2.9799,0.0029,"**"
"categoryjeans",0.044,0.0229,1.9205,0.0548,"."
"categoryshoes",0.1132,0.0266,4.262,0,"***"
"categoryt-shirt",-0.0385,0.0424,-0.9075,0.3642,""
"categorytop",-0.0848,0.0402,-2.1116,0.0347,"*"
"categorytrainers",0.1124,0.0243,4.6334,0,"***"
"brandbrand_2",0.0221,0.0189,1.1693,0.2423,""
"brandbrand_3",-0.0116,0.0214,-0.5447,0.586,""
"brandbrand_4",-0.0538,0.018,-2.982,0.0029,"**"
